occupation_code,occupation_name,task_id,task_description,weight_category,weight_percentage,substitutivity_01,augmentation_01,complementarity_01,substitutivity_5,augmentation_5,complementarity_5,justification
6-30-02-02,铁路车站调车作业员,T001,执行车辆摘钩与连挂操作,Primary,0.12,0.15,0.65,0.8,2,4,4,涉及复杂物理空间判断与高风险肢体动作，AI 难以完全替代；视觉辅助可显著提升作业精度。
6-30-02-02,铁路车站调车作业员,T002,实施列车制动与缓解控制,Primary,0.12,0.1,0.7,0.85,1,4,4,需实时感知车辆动态并手动操作制动阀，AI 可辅助监测但无法完全接管紧急物理干预。
6-30-02-02,铁路车站调车作业员,T003,监控调车作业现场安全状态,Primary,0.12,0.2,0.75,0.8,2,4,4,依赖人工对突发环境变化的即时判断，AI 可增强监控范围但责任主体仍需人类。
6-30-02-02,铁路车站调车作业员,T004,核对车辆编组计划与信号指令,Primary,0.12,0.35,0.8,0.65,2,4,4,涉及信息比对与逻辑确认，AI 可快速处理数据，但需人工确认最终指令以规避系统误判。
6-30-02-02,铁路车站调车作业员,T005,执行非正常情况下的应急避险,Primary,0.12,0.05,0.4,0.9,1,3,5,极端突发状况下需人类直觉与经验决策，AI 辅助有限，高度依赖人的主观能动性。
6-30-02-02,铁路车站调车作业员,T006,传递调车作业手信号与指令,Secondary,0.1,0.4,0.6,0.5,3,3,3,传统手势信号可被数字通信替代，但现场复杂环境仍需人工确认信号有效性。
6-30-02-02,铁路车站调车作业员,T007,检查车辆连接部件与制动装置,Secondary,0.1,0.3,0.7,0.6,2,4,3,物理检查可结合机器视觉辅助，但细微故障仍需人工触觉与经验判断。
6-30-02-02,铁路车站调车作业员,T008,记录调车作业日志与数据报表,Secondary,0.1,0.85,0.9,0.3,4,5,2,纯数据记录与报表生成高度自动化，AI 可完全接管，人类仅需抽检。
6-30-02-02,铁路车站调车作业员,T009,维护调车作业设备与工具,Ancillary,0.05,0.5,0.5,0.4,3,3,3,常规维护可自动化，但复杂故障排除仍需人工介入，AI 提供诊断建议。
6-30-02-02,铁路车站调车作业员,T010,参与班组安全会议与培训,Ancillary,0.05,0.9,0.8,0.2,5,4,2,知识传递与会议记录可由 AI 生成，但团队凝聚力构建仍需人际互动。
2-02-10-01,通信工程技术人员,T001,Analyze communication protocols and network standards,Primary,0.12,0.85,0.9,0.6,4,5,3,"Protocol analysis is highly rule-based and data-driven, making it easily automatable by AI for pattern recognition and standard compliance checking."
2-02-10-01,通信工程技术人员,T002,Design network topology and capacity planning models,Primary,0.12,0.4,0.8,0.75,3,4,4,"AI can optimize topology parameters, but final design requires human judgment on site-specific constraints and strategic business alignment."
2-02-10-01,通信工程技术人员,T003,Oversee equipment installation and field engineering execution,Primary,0.12,0.15,0.4,0.85,2,3,4,Physical presence and on-site decision-making regarding unpredictable environmental factors require human agency and cannot be fully remote or automated.
2-02-10-01,通信工程技术人员,T004,Resolve complex network faults and system anomalies,Primary,0.12,0.3,0.7,0.7,2,4,4,"AI can diagnose known error patterns, but novel or multi-variable system failures require human creative problem-solving and contextual reasoning."
2-02-10-01,通信工程技术人员,T005,Develop and test new communication device prototypes,Primary,0.12,0.2,0.65,0.8,2,4,4,R&D involves iterative physical testing and innovation that AI can simulate but cannot independently execute or validate in the real world.
2-02-10-01,通信工程技术人员,T006,Coordinate technical teams and client stakeholder communications,Secondary,0.1,0.1,0.5,0.9,1,3,5,"Managing human expectations, negotiating conflicts, and building trust are deeply social tasks where AI serves only as a communication aid."
2-02-10-01,通信工程技术人员,T007,Document engineering specifications and compliance reports,Secondary,0.1,0.75,0.85,0.5,4,4,3,"Documentation generation is text-heavy and structured, making it highly susceptible to AI automation with minimal human oversight."
2-02-10-01,通信工程技术人员,T008,Monitor network performance metrics and generate alerts,Secondary,0.1,0.9,0.95,0.4,5,5,3,Real-time monitoring and threshold-based alerting are ideal candidates for autonomous AI agents with near-zero human intervention.
2-02-10-01,通信工程技术人员,T009,Conduct safety inspections and physical equipment maintenance,Ancillary,0.05,0.1,0.3,0.8,1,2,4,Physical safety checks and manual maintenance require tactile interaction and liability assumption that robots currently cannot fully assume.
2-02-10-01,通信工程技术人员,T010,Research emerging communication technologies and standards,Ancillary,0.05,0.45,0.7,0.65,3,4,4,"AI can aggregate research data, but synthesizing future trends and strategic implications requires human foresight and critical evaluation."
6-25-01-12,电子产品制版工,T001,操作光绘设备生成电路图形,Primary,0.12,0.15,0.85,0.8,2,4,4,设备操作涉及精密物理校准与实时状态监控，AI 难以完全接管硬件交互，但能显著提升生成速度与精度。
6-25-01-12,电子产品制版工,T002,执行图形转移工艺参数设定,Primary,0.12,0.2,0.8,0.75,2,4,4,参数设定依赖对材料特性的经验判断，AI 可辅助计算最优解，但需人工确认特殊工况下的参数适配性。
6-25-01-12,电子产品制版工,T003,检查制版成品质量与缺陷,Primary,0.12,0.3,0.7,0.7,2,4,4,视觉检测虽可自动化，但微小瑕疵的判定需结合上下文经验，AI 作为辅助工具能大幅降低漏检率。
6-25-01-12,电子产品制版工,T004,分析制版失败原因并调整方案,Primary,0.12,0.25,0.75,0.75,2,4,4,故障诊断需要结合设备日志与物理现象进行因果推理，AI 能提供数据支持，但决策责任仍在人工。
6-25-01-12,电子产品制版工,T005,绘制基础电路线路图稿,Primary,0.12,0.4,0.6,0.6,3,3,3,绘图工作高度依赖软件工具，AI 可自动生成基础线路，但复杂逻辑连接仍需人工校验与修正。
6-25-01-12,电子产品制版工,T006,维护光绘设备运行状态,Secondary,0.1,0.1,0.5,0.9,1,3,5,物理维护涉及触觉反馈与突发故障处理，AI 无法替代人工操作，但可预测维护周期。
6-25-01-12,电子产品制版工,T007,记录制版工艺数据与报告,Secondary,0.1,0.8,0.9,0.2,4,5,2,数据记录与报告生成是典型的文本处理任务，AI 可完全自动化执行，仅需人工抽检。
6-25-01-12,电子产品制版工,T008,协调生产进度与物料准备,Secondary,0.1,0.35,0.65,0.65,2,4,4,协调工作涉及多方沟通与突发状况应对，AI 可优化排程，但人际协调与责任承担仍需人工。
6-25-01-12,电子产品制版工,T009,整理归档历史制版案例,Ancillary,0.05,0.9,0.8,0.1,5,4,1,档案整理属于低认知负荷的重复性任务，AI 可高效完成分类与检索，几乎无替代障碍。
6-25-01-12,电子产品制版工,T010,培训新员工掌握制版流程,Ancillary,0.05,0.2,0.4,0.8,2,3,4,技能传授涉及隐性知识传递与情感互动，AI 可作为辅助教材，但无法替代导师的示范与反馈。
1-01-00-01,中国共产党机关负责人,T001,Interpret Party theories and formulate organizational policies,Primary,0.12,0.15,0.75,0.85,2,4,4,"AI can process vast policy data (high A), but final political judgment and ideological alignment require human authority (low S). High complementarity in drafting and analysis."
1-01-00-01,中国共产党机关负责人,T002,Execute organizational workflows and manage personnel records,Primary,0.12,0.45,0.8,0.6,3,4,3,"Routine workflow execution and data management are highly automatable (moderate S, high A), though personnel decisions retain human oversight."
1-01-00-01,中国共产党机关负责人,T003,Coordinate inter-departmental communication and resolve conflicts,Primary,0.12,0.1,0.5,0.9,1,3,5,"Highly dependent on trust, emotional intelligence, and political nuance (very low S), making AI a strong support tool for scheduling and drafting but not execution."
1-01-00-01,中国共产党机关负责人,T004,Supervise subordinates and evaluate performance outcomes,Primary,0.12,0.2,0.65,0.8,2,4,4,"AI can analyze performance metrics (high A), but the final evaluation and disciplinary actions rely on human judgment and accountability (low S)."
1-01-00-01,中国共产党机关负责人,T005,Make strategic decisions on organizational direction and resource allocation,Primary,0.12,0.05,0.7,0.95,1,4,5,"Strategic decision-making involves high-stakes political risk and moral responsibility that cannot be delegated to AI (extremely low S), though AI aids scenario simulation."
1-01-00-01,中国共产党机关负责人,T006,Draft official documents and meeting minutes,Secondary,0.1,0.6,0.9,0.5,3,5,3,"Highly language-dependent; GenAI excels at drafting and summarizing (high S, high A), requiring only human verification for accuracy."
1-01-00-01,中国共产党机关负责人,T007,Monitor policy implementation and conduct compliance audits,Secondary,0.1,0.55,0.75,0.65,3,4,4,"Data-driven monitoring is easily augmented by AI algorithms, but final compliance certification requires human authority."
1-01-00-01,中国共产党机关负责人,T008,Organize and lead public mobilization events,Secondary,0.1,0.15,0.6,0.85,2,3,4,"Event logistics can be optimized by AI, but the leadership presence and emotional mobilization of the crowd require human interaction."
1-01-00-01,中国共产党机关负责人,T009,Maintain internal party discipline and handle disciplinary cases,Ancillary,0.05,0.1,0.4,0.9,1,3,5,Disciplinary actions involve complex ethical and political judgments; AI can assist in record-keeping but cannot adjudicate.
1-01-00-01,中国共产党机关负责人,T010,Archive and manage historical organizational records,Ancillary,0.05,0.7,0.85,0.4,4,4,3,Purely archival and retrieval tasks are highly automatable with high efficiency gains and moderate substitution potential.
1-01-00-02,中国共产党基层组织负责人,T001,组织策划基层党员教育活动,Primary,0.12,0.15,0.75,0.85,2,4,4,活动策划需深度结合本地政治生态，AI 可辅助流程设计但无法替代现场政治把控与突发应对。
1-01-00-02,中国共产党基层组织负责人,T002,开展群众思想动态调研分析,Primary,0.12,0.1,0.6,0.9,1,3,5,涉及非结构化情感与隐性诉求，AI 难以通过数据完全还原真实人际信任关系与深层心理动机。
1-01-00-02,中国共产党基层组织负责人,T003,调解基层矛盾纠纷与利益冲突,Primary,0.12,0.05,0.4,0.95,1,3,5,高度依赖情感共鸣、权威背书与现场即兴应变，AI 缺乏人类特有的道德感召力与信任构建能力。
1-01-00-02,中国共产党基层组织负责人,T004,制定区域党建发展规划方案,Primary,0.12,0.2,0.8,0.8,2,4,4,AI 可高效处理政策文本与数据建模，但战略方向与政治原则的判定必须由人类决策者负责。
1-01-00-02,中国共产党基层组织负责人,T005,宣讲党的路线方针政策精神,Primary,0.12,0.3,0.7,0.7,2,4,4,内容生成可被 AI 辅助，但宣讲时的感染力、眼神交流与现场互动效果仍高度依赖人类特质。
1-01-00-02,中国共产党基层组织负责人,T006,维护党员档案与组织关系管理,Secondary,0.1,0.85,0.9,0.2,4,5,2,属于标准化数据录入与检索流程，AI 可完全接管且准确率远超人工，仅需人类进行最终合规性审计。
1-01-00-02,中国共产党基层组织负责人,T007,撰写党务公文与会议记录,Secondary,0.1,0.75,0.85,0.3,4,4,2,公文写作具有固定范式，GenAI 可高效生成草稿，人类仅需进行政治术语校对与逻辑修正。
1-01-00-02,中国共产党基层组织负责人,T008,协调外部资源支持社区建设,Secondary,0.1,0.25,0.5,0.75,2,3,4,涉及多方利益博弈与人际网络运作，AI 无法替代人类在复杂社会关系中的协调与谈判能力。
1-01-00-02,中国共产党基层组织负责人,T009,执行上级党组织指令性任务,Ancillary,0.05,0.6,0.7,0.4,3,4,3,指令执行多为流程化操作，AI 可辅助进度追踪，但责任主体与最终确认仍需人类承担。
1-01-00-02,中国共产党基层组织负责人,T010,整理归档基层工作台账资料,Ancillary,0.05,0.9,0.8,0.15,5,4,2,纯物理与数字归档工作，AI 自动化程度极高，人类仅需进行极低频次的抽查与归档确认。
